id,chain,offer,market,repeattrips,repeater,offerdate,category,quantity,company,offervalue,brand
86246,205,1208251,34,5,True,2013-04-24,2202,1,104460040,2.0,3718
86252,205,1197502,34,16,True,2013-03-27,3203,1,106414464,0.75,13474
12682470,18,1197502,11,0,False,2013-03-28,3203,1,106414464,0.75,13474
12996040,15,1197502,9,0,False,2013-03-25,3203,1,106414464,0.75,13474
13089312,15,1204821,9,0,False,2013-04-01,5619,1,107717272,1.5,102504
13179265,14,1197502,8,0,False,2013-03-29,3203,1,106414464,0.75,13474
13251776,15,1200581,9,0,False,2013-03-30,1726,1,104460040,1.25,7668
13540129,14,1200581,8,0,False,2013-03-30,1726,1,104460040,1.25,7668
13807224,4,1204576,1,0,False,2013-04-05,5616,1,104610040,1.0,15889
13873775,4,1197502,1,0,False,2013-03-26,3203,1,106414464,0.75,13474
13974451,4,1197502,1,0,False,2013-03-26,3203,1,106414464,0.75,13474
14088807,3,1200581,2,1,True,2013-04-17,1726,1,104460040,1.25,7668
14381137,4,1197502,1,0,False,2013-04-04,3203,1,106414464,0.75,13474
14576147,18,1197502,11,0,False,2013-04-02,3203,1,106414464,0.75,13474
15530842,95,1197502,39,0,False,2013-04-19,3203,1,106414464,0.75,13474
15705695,15,1197502,9,0,False,2013-04-02,3203,1,106414464,0.75,13474
15738658,17,1197502,4,0,False,2013-04-22,3203,1,106414464,0.75,13474
15753725,17,1208251,4,0,False,2013-04-24,2202,1,104460040,2.0,3718
15941277,14,1197502,8,1,True,2013-03-26,3203,1,106414464,0.75,13474
15994113,4,1197502,1,0,False,2013-03-26,3203,1,106414464,0.75,13474
16138642,4,1204576,1,0,False,2013-04-05,5616,1,104610040,1.0,15889
16203579,15,1197502,9,2,True,2013-03-25,3203,1,106414464,0.75,13474
16238376,14,1197502,8,1,True,2013-04-05,3203,1,106414464,0.75,13474
16535563,4,1208251,1,7,True,2013-04-27,2202,1,104460040,2.0,3718
16606739,3,1208252,2,0,False,2013-04-24,2202,1,104460040,3.0,3718
16646740,4,1197502,1,0,False,2013-03-28,3203,1,106414464,0.75,13474
16691816,3,1200988,2,0,False,2013-03-18,3509,1,103320030,2.0,875
16749437,20,1197502,7,1,True,2013-04-01,3203,1,106414464,0.75,13474
16797008,88,1197502,14,1,True,2013-04-17,3203,1,106414464,0.75,13474
17456470,14,1208252,8,0,False,2013-04-26,2202,1,104460040,3.0,3718
17472223,4,1200988,1,0,False,2013-03-23,3509,1,103320030,2.0,875
17486592,15,1197502,9,1,True,2013-04-17,3203,1,106414464,0.75,13474
17693343,18,1197502,11,0,False,2013-03-27,3203,1,106414464,0.75,13474
17764186,15,1197502,9,0,False,2013-03-25,3203,1,106414464,0.75,13474
17888308,4,1204576,1,0,False,2013-04-05,5616,1,104610040,1.0,15889
17995179,95,1197502,39,0,False,2013-04-19,3203,1,106414464,0.75,13474
18249735,4,1197502,1,2,True,2013-03-25,3203,1,106414464,0.75,13474
18259179,3,1208251,2,0,False,2013-04-24,2202,1,104460040,2.0,3718
18277411,4,1204576,1,0,False,2013-04-04,5616,1,104610040,1.0,15889
18938874,88,1197502,14,0,False,2013-03-26,3203,1,106414464,0.75,13474
19069700,4,1197502,1,0,False,2013-03-25,3203,1,106414464,0.75,13474
19330664,4,1197502,1,0,False,2013-03-26,3203,1,106414464,0.75,13474
19506471,4,1197502,1,1,True,2013-03-28,3203,1,106414464,0.75,13474
19591356,4,1197502,1,1,True,2013-03-30,3203,1,106414464,0.75,13474
