id,chain,offer,market,offerdate
12262064,95,1219903,39,2013-06-27
12277270,95,1221658,39,2013-06-23
12332190,95,1213242,39,2013-06-15
12524696,4,1221665,1,2013-06-20
13074629,14,1221658,8,2013-06-21
13387341,14,1221658,8,2013-06-22
13501141,4,1203439,1,2013-05-13
13558712,15,1203439,9,2013-05-12
13563017,14,1221665,8,2013-06-24
13584134,14,1221665,8,2013-06-27
13744500,4,1221658,1,2013-06-26
14026320,14,1221663,8,2013-06-23
14049441,3,1221658,2,2013-06-21
14101174,4,1221663,1,2013-06-22
14278542,4,1221665,1,2013-06-21
14632152,18,1213242,11,2013-05-27
14723452,18,1221663,11,2013-06-29
14790034,4,1230218,1,2013-07-28
14989775,15,1221663,9,2013-06-26
15050385,15,1221658,9,2013-06-23
15073302,15,1190530,9,2013-05-09
15134033,15,1203439,9,2013-05-13
15163210,15,1221663,9,2013-06-21
15417308,95,1213242,39,2013-05-22
15575309,17,1219903,4,2013-07-05
15708395,17,1221663,4,2013-06-24
16075389,14,1221658,8,2013-06-20
16078766,4,1230218,1,2013-07-27
16130307,4,1190530,1,2013-05-08
16412251,95,1221663,39,2013-06-21
16551772,4,1203439,1,2013-05-23
16740945,95,1213242,39,2013-05-26
16765955,18,1213242,11,2013-05-25
16790471,18,1213242,11,2013-05-21
16799857,20,1230218,7,2013-07-24
16802992,18,1213242,11,2013-05-22
16829614,95,1230218,39,2013-07-28
16961724,95,1219900,39,2013-06-28
16968198,88,1230218,14,2013-07-26
17041984,95,1230218,39,2013-07-25
17208569,15,1221663,9,2013-06-23
17524817,4,1221666,1,2013-06-28
17552659,4,1221666,1,2013-06-23
17563640,88,1221663,14,2013-06-22
17652157,4,1219900,1,2013-06-28
17678929,4,1221666,1,2013-06-21
17792880,15,1221658,9,2013-06-24
17956604,4,1190530,1,2013-05-09
18019282,3,1221663,2,2013-06-29
18036844,4,1221663,1,2013-06-21
18470775,4,1230218,1,2013-07-28
18714453,17,1221663,4,2013-06-25
18854215,88,1203439,14,2013-05-12
18985721,4,1219903,1,2013-07-15
19006747,15,1221663,9,2013-06-22
19119985,14,1221665,8,2013-06-21
19134469,4,1190530,1,2013-05-17
19166969,18,1221658,11,2013-06-20
19253253,15,1203439,9,2013-05-14
19277502,4,1221665,1,2013-06-23
19346425,4,1221665,1,2013-06-21
19460457,20,1203439,7,2013-05-11
19607398,4,1203439,1,2013-05-11
19648997,4,1221663,1,2013-06-20
19667741,4,1221665,1,2013-06-24
20008183,18,1213242,11,2013-06-15
20552767,14,1219903,8,2013-06-29
20760852,18,1213242,11,2013-05-22
21303030,95,1230218,39,2013-07-24
