id,chain,offer,market,repeattrips,repeater,offerdate
86246,205,1208251,34,5,t,2013-04-24
86252,205,1197502,34,16,t,2013-03-27
12682470,18,1197502,11,0,f,2013-03-28
12996040,15,1197502,9,0,f,2013-03-25
13089312,15,1204821,9,0,f,2013-04-01
13179265,14,1197502,8,0,f,2013-03-29
13251776,15,1200581,9,0,f,2013-03-30
13540129,14,1200581,8,0,f,2013-03-30
13807224,4,1204576,1,0,f,2013-04-05
13873775,4,1197502,1,0,f,2013-03-26
13974451,4,1197502,1,0,f,2013-03-26
14088807,3,1200581,2,1,t,2013-04-17
14381137,4,1197502,1,0,f,2013-04-04
14576147,18,1197502,11,0,f,2013-04-02
15530842,95,1197502,39,0,f,2013-04-19
15705695,15,1197502,9,0,f,2013-04-02
15738658,17,1197502,4,0,f,2013-04-22
15753725,17,1208251,4,0,f,2013-04-24
15941277,14,1197502,8,1,t,2013-03-26
15994113,4,1197502,1,0,f,2013-03-26
16138642,4,1204576,1,0,f,2013-04-05
16203579,15,1197502,9,2,t,2013-03-25
16238376,14,1197502,8,1,t,2013-04-05
16535563,4,1208251,1,7,t,2013-04-27
16606739,3,1208252,2,0,f,2013-04-24
16646740,4,1197502,1,0,f,2013-03-28
16691816,3,1200988,2,0,f,2013-03-18
16749437,20,1197502,7,1,t,2013-04-01
16797008,88,1197502,14,1,t,2013-04-17
17456470,14,1208252,8,0,f,2013-04-26
17472223,4,1200988,1,0,f,2013-03-23
17486592,15,1197502,9,1,t,2013-04-17
17693343,18,1197502,11,0,f,2013-03-27
17764186,15,1197502,9,0,f,2013-03-25
17888308,4,1204576,1,0,f,2013-04-05
17995179,95,1197502,39,0,f,2013-04-19
18249735,4,1197502,1,2,t,2013-03-25
18259179,3,1208251,2,0,f,2013-04-24
18277411,4,1204576,1,0,f,2013-04-04
18938874,88,1197502,14,0,f,2013-03-26
19069700,4,1197502,1,0,f,2013-03-25
19330664,4,1197502,1,0,f,2013-03-26
19506471,4,1197502,1,1,t,2013-03-28
19591356,4,1197502,1,1,t,2013-03-30
19773748,15,1197502,9,0,f,2013-04-01
19899195,14,1197502,8,0,f,2013-03-26
21024070,15,1208251,9,1,t,2013-04-23
21419778,14,1197502,8,0,f,2013-03-25
21603296,4,1208251,1,0,f,2013-04-26
21622166,3,1197502,2,0,f,2013-03-29
21837001,15,1204576,9,0,f,2013-04-07
21860840,15,1197502,9,0,f,2013-03-28
22077078,18,1197502,11,0,f,2013-03-26
22491084,15,1197502,9,1,t,2013-03-26
22709494,4,1204822,1,1,t,2013-04-21
22725281,18,1197502,11,0,f,2013-03-28
22791304,20,1197502,7,0,f,2013-03-27
22816872,17,1197502,4,0,f,2013-04-16
23270065,17,1197502,4,0,f,2013-03-29
23412989,17,1197502,4,0,f,2013-04-23
23447825,15,1197502,9,0,f,2013-03-26
23486921,18,1197502,11,0,f,2013-03-26
23791057,95,1208251,39,2,t,2013-04-24
44975538,2,1197502,1,0,f,2013-03-25
48445984,15,1197502,9,0,f,2013-03-25
48464291,18,1208251,11,0,f,2013-04-23
48468053,4,1197502,1,0,f,2013-03-31
48682962,15,1197502,9,0,f,2013-04-06
48693550,95,1197502,39,0,f,2013-03-31
48991232,4,1197502,1,0,f,2013-03-28
49165299,3,1200581,2,1,t,2013-03-31
49315424,4,1197502,1,0,f,2013-03-31
49326153,4,1197502,1,0,f,2013-03-25
49434116,14,1197502,8,0,f,2013-03-28
49451971,4,1197502,1,1,t,2013-03-27
