dept,category,n_lineas,proporcion,categoria_ofertada
96,9609,5066677,0.6456805208184392,False
0,0,1137755,0.1449917255360433,False
97,9781,611408,0.07791580869918494,False
97,9753,72009,0.009176588249776923,False
9,907,46516,0.005927844839209311,False
63,6315,18521,0.002360254842785185,False
41,4107,16444,0.0020955688480513786,False
4,416,15801,0.0020136270595998438,False
5,501,14937,0.0019035217637645,False
63,6320,14548,0.0018539488933015966,False
9,901,13655,0.0017401479336014091,False
23,2301,13002,0.0016569317782999284,False
36,3601,12408,0.0015812343874131295,False
99,9908,11805,0.0015043900663613793,False
33,3303,11592,0.0014772460524575272,False
9,902,11379,0.0014501020385536752,False
99,9909,11283,0.0014378681167941925,True
36,3611,10739,0.0013685425601571244,False
58,5823,10570,0.001347005760393035,False
99,9904,10551,0.0013445844633781375,False
36,3618,9948,0.0012677401423263873,False
36,3632,9763,0.0012441643556023842,False
73,7357,8642,0.0011013078317234257,False
8,810,7931,0.0010107003486922576,False
36,3635,7916,0.0010087887984173384,False
21,2105,6955,0.0008863221441375174,False
64,6408,6902,0.0008795679998328031,False
41,4108,6748,0.000859942750343633,False
36,3630,6599,0.000840954684279436,False
33,3305,6471,0.0008246427886001258,False
36,3604,6410,0.0008168691508154546,False
64,6401,5999,0.0007644926732826696,False
36,3612,5981,0.0007621988129527666,False
6,610,5975,0.000761434192842799,False
53,5307,5820,0.0007416815066686342,False
56,5620,5719,0.0007288104014841786,False
64,6409,5703,0.0007267714145242648,False
36,3626,5701,0.0007265165411542757,False
41,4105,5580,0.0007110967022699277,False
37,3703,5498,0.0007006468941003697,False
31,3101,5323,0.0006783454742263127,False
16,1604,5317,0.0006775808541163451,False
21,2119,5077,0.0006469960497176386,True
57,5704,5000,0.0006371834249730535,False
57,5705,4932,0.00062851773039342,False
58,5824,4773,0.0006082552974792769,True
9,917,4708,0.0005999719129546272,False
37,3709,4681,0.0005965311224597727,False
58,5812,4680,0.0005964036857747781,False
4,418,4619,0.0005886300479901068,False
63,6305,4616,0.000588247737935123,False
63,6316,4582,0.0005839148906453063,False
36,3628,4466,0.0005691322351859314,False
26,2628,4458,0.0005681127417059745,False
36,3631,4361,0.0005557513832614972,False
56,5607,4300,0.000547977745476826,False
9,908,4292,0.0005469582519968692,False
41,4121,4277,0.00054504670172195,False
57,5710,4185,0.0005333225267024458,False
26,2609,3906,0.0004977676915889494,False
36,3634,3860,0.0004919056040791973,False
9,922,3839,0.0004892294336943105,False
29,2914,3798,0.0004840045296095314,False
55,5552,3769,0.00048030886574468773,False
29,2928,3675,0.00046832981735519435,False
51,5125,3589,0.00045737026244565784,False
58,5827,3549,0.00045227279504587336,False
37,3707,3509,0.00044717532764608893,False
12,1205,3487,0.0004443717205762075,False
9,913,3481,0.00044360710046623987,False
8,803,3449,0.0004395291265464123,False
33,3308,3342,0.000425893401251989,False
8,818,3270,0.000416717959932377,False
56,5616,3212,0.00040932663220268956,True
21,2106,3041,0.00038753495906861113,False
56,5617,2967,0.00037810464437900993,False
59,5902,2853,0.0003635768622896243,False
5,516,2838,0.0003616653120147052,False
14,1416,2801,0.00035695015466990457,False
63,6312,2752,0.00035070575710516864,False
26,2622,2735,0.00034853933346026025,False
36,3603,2720,0.00034662778318534114,False
4,410,2707,0.0003449711062804112,False
28,2805,2703,0.00034446135954043275,False
8,814,2667,0.00033987363888062676,False
26,2630,2663,0.0003393638921406483,False
8,801,2662,0.0003392364554556537,False
31,3108,2633,0.00033554079159081,False
36,3627,2609,0.0003324823111509393,False
71,7113,2576,0.0003282769005461172,False
59,5907,2569,0.0003273848437511549,False
49,4901,2500,0.00031859171248652677,False
21,2117,2430,0.000309671144536904,False
35,3504,2428,0.0003094162711669148,True
44,4404,2409,0.0003069949741520172,False
2,201,2378,0.00030304443691718427,False
10,1012,2344,0.0002987115896273675,False
78,7801,2313,0.00029476105239253453,False
43,4302,2311,0.0002945061790225453,False
33,3307,2306,0.0002938689955975723,False
26,2633,2290,0.0002918300086376585,False
30,3008,2288,0.00029157513526766927,False
29,2904,2276,0.00029004589504773396,False
63,6323,2273,0.0002896635849927501,False
58,5814,2266,0.00028877152819778787,False
33,3318,2245,0.00028609535781290104,False
5,504,2238,0.00028520330101793875,False
38,3801,2217,0.00028252713063305193,False
51,5115,2211,0.0002817625105230843,False
25,2506,2174,0.00027704735317828365,False
8,807,2172,0.00027679247980829443,False
70,7001,2169,0.00027641016975331063,False
27,2705,2166,0.0002760278596983268,False
29,2908,2158,0.0002750083662183699,False
37,3705,2095,0.00026697985506370943,False
41,4120,2094,0.0002668524183787148,False
5,502,2051,0.00026137264092394657,False
56,5615,2042,0.00026022571075899506,False
21,2108,2003,0.0002552556800442052,False
29,2903,2001,0.000255000806674216,False
19,1905,1984,0.0002528343830293076,False
4,421,1965,0.00025041308601441,False
9,912,1930,0.00024595280203959865,False
4,405,1929,0.00024582536535460407,False
25,2509,1929,0.00024582536535460407,False
63,6314,1916,0.0002441686884496741,False
37,3706,1914,0.00024391381507968488,False
33,3302,1902,0.00024238457485974957,False
10,1004,1888,0.000240600461269825,False
33,3309,1875,0.00023894378436489506,False
58,5831,1861,0.0002371596707749705,False
51,5126,1848,0.00023550299387004058,False
37,3711,1845,0.00023512068381505676,False
33,3304,1831,0.0002333365702251322,False
72,7205,1815,0.00023129758326521842,True
36,3629,1792,0.00022836653951034238,False
72,7214,1787,0.00022772935608536934,False
56,5609,1785,0.00022747448271538012,False
14,1411,1785,0.00022747448271538012,False
1,106,1784,0.00022734704603038548,False
9,914,1782,0.00022709217266039626,False
29,2920,1756,0.0002237788188505364,False
27,2704,1756,0.0002237788188505364,False
22,2201,1747,0.0002226318886855849,False
3,311,1745,0.00022237701531559566,False
33,3312,1739,0.000221612395205628,False
37,3708,1737,0.0002213575218356388,False
4,411,1705,0.00021727954791581124,False
58,5835,1695,0.00021600518106586514,False
12,1206,1676,0.00021358388405096754,False
41,4110,1655,0.00021090771366608072,False
5,519,1654,0.0002107802769810861,False
19,1908,1647,0.00020988822018612382,False
28,2804,1644,0.00020950591013114,False
34,3410,1644,0.00020950591013114,False
58,5833,1642,0.00020925103676115077,False
2,213,1629,0.00020759435985622082,False
45,4511,1621,0.00020657486637626395,False
51,5117,1619,0.00020631999300627473,False
33,3310,1611,0.00020530049952631785,False
63,6311,1600,0.00020389869599137713,False
2,202,1591,0.00020275176582642561,False
73,7356,1585,0.00020198714571645796,False
28,2806,1581,0.00020147739897647952,False
54,5401,1577,0.00020096765223650108,False
32,3202,1528,0.00019472325467176515,False
30,3010,1524,0.0001942135079317867,False
8,836,1511,0.00019255683102685676,False
38,3802,1501,0.00019128246417691067,False
9,904,1495,0.00019051784406694301,False
18,1828,1494,0.00019039040738194838,False
8,802,1494,0.00019039040738194838,False
26,2629,1493,0.00019026297069695377,False
14,1404,1492,0.00019013553401195916,False
27,2701,1472,0.00018758680031206695,False
29,2925,1470,0.00018733192694207773,False
26,2634,1466,0.0001868221802020993,False
35,3509,1460,0.00018605756009213163,True
55,5558,1458,0.00018580268672214242,True
56,5614,1453,0.00018516550329716934,False
21,2118,1423,0.00018134240274733104,False
29,2902,1419,0.0001808326560073526,False
13,1306,1416,0.00018045034595236874,False
73,7304,1414,0.00018019547258237953,False
7,707,1413,0.00018006803589738492,False
62,6201,1413,0.00018006803589738492,False
25,2504,1400,0.000178411358992455,False
27,2713,1392,0.0001773918655124981,False
4,417,1384,0.00017637237203254122,False
6,601,1379,0.00017573518860756815,False
26,2620,1364,0.000173823638332649,False
8,811,1362,0.0001735687649626598,False
92,9211,1359,0.00017318645490767593,False
69,6901,1358,0.00017305901822268132,False
73,7302,1351,0.00017216696142771906,False
9,921,1345,0.0001714023413177514,False
63,6313,1337,0.0001703828478377945,False
29,2906,1326,0.0001689810443028538,False
30,3001,1309,0.0001668146206579454,False
33,3315,1303,0.00016605000054797776,False
10,1011,1298,0.00016541281712300468,False
73,7309,1294,0.00016490307038302625,False
9,970,1283,0.00016350126684808554,False
41,4106,1281,0.0001632463934780963,False
60,6001,1275,0.00016248177336812864,False
53,5305,1265,0.00016120740651818255,False
