mes,n_lineas,monto,n_clientes
2012-03,21504518,100898381.57000001,255178
2012-04,21790260,103512404.1,259632
2012-05,23038910,106235331.29,264064
2012-06,22821114,104974281.54,267819
2012-07,23337087,108350772.82000001,271484
2012-08,23928739,109438158.27,275436
2012-09,24191739,108937207.66,278965
2012-10,24709355,110872807.21000001,283033
2012-11,25661581,110847211.4,293654
2012-12,27411037,108557980.30000001,297856
2013-01,26431634,117577628.4,298948
2013-02,24514633,111099618.79,299360
2013-03,25317798,113605962.5,295202
2013-04,14792545,64396964.99,200766
2013-05,10360770,44941737.230000004,142868
2013-06,7780154,36847824.19,122200
2013-07,2063915,8581948.77,26105
