,mediana_no_volvio,mediana_volvio,media_no_volvio,media_volvio,cociente_medias
n_lineas,881.0,965.0,1022.5605433076943,1559.540931902942,1.5251331005382507
n_compras,845.0,930.0,982.7997410370523,1517.4648924904461,1.5440224789734012
n_devoluciones,0.0,0.0,0.9644311818828836,1.075302730328284,1.114960559683422
n_descuentos,8.0,6.0,24.61489980191907,25.1375753948156,1.021234114178916
n_visitas,69.0,73.0,79.99961412805804,84.549449790506,1.0568732201028481
gasto_total,3556.36,3974.25,4192.049341616718,9637.921380588425,2.299095405416062
ticket_promedio,49.19,51.585,56.924584930414426,72.72917146277453,1.2776407865192148
dias_ultima_compra,6.0,6.0,9.007125768528285,8.089368755467563,0.8981076720092609
antiguedad_dias,390.0,395.0,383.9028288700812,385.5088862286477,1.0041834996717622
n_categorias_distintas,195.0,198.0,195.5957948533258,198.89278972328376,1.0168561643793534
n_marcas_distintas,222.0,229.0,233.64615542921823,243.21096735577143,1.0409371680393467
n_companias_distintas,195.0,199.0,203.30513895677376,209.59620608683642,1.0309439651272183
n_compras_categoria,1.0,2.0,4.312624872447886,9.317602099544178,2.1605408249327795
gasto_categoria,1.72,6.87,19.07767696516005,51.60149431373452,2.704810151045642
n_compras_categoria_30d,0.0,0.0,0.31711813683876555,0.7833463787467194,2.4702036488849624
n_compras_categoria_60d,0.0,0.0,0.652054982464264,1.5427736083613426,2.3660176669931277
n_compras_categoria_90d,0.0,0.0,0.9784254709781425,2.2683364795800913,2.3183538724849537
n_compras_categoria_180d,0.0,1.0,1.8598770354744938,4.204682536028362,2.2607314654840387
n_compras_compania,1.0,1.0,3.3366175323060565,3.8793682950412083,1.1626649615906193
gasto_compania,1.99,2.0,13.048137610509437,20.2533231272158,1.5522003010531593
n_compras_compania_30d,0.0,0.0,0.2786424167588472,0.45441779087434964,1.6308277690098716
n_compras_compania_60d,0.0,0.0,0.5837470738044401,0.860721027671624,1.4744759610734637
n_compras_compania_90d,0.0,0.0,0.8953343794750427,1.2429209447948801,1.3882198352794588
n_compras_compania_180d,0.0,0.0,1.7803874154297328,2.208987522445785,1.240734181393099
n_compras_marca,0.0,0.0,2.6926915854191855,3.5233436161885905,1.3084839107706772
gasto_marca,0.0,0.0,10.662980903626337,18.179101247755423,1.704879846645224
n_compras_marca_30d,0.0,0.0,0.26213567257479486,0.44712003315069754,1.7056817515865617
n_compras_marca_60d,0.0,0.0,0.5007588814858642,0.8178783553570607,1.6332777821737912
n_compras_marca_90d,0.0,0.0,0.7219749783482966,1.1622772687508633,1.6098581025756202
n_compras_marca_180d,0.0,0.0,1.3561255027053911,2.0070215019107693,1.4799673761070629
n_compras_producto,0.0,0.0,0.3327759627504952,1.001312215111193,3.0089679760372148
gasto_producto,0.0,0.0,1.4818428386455038,6.252205212026336,4.219209385079756
dias_ultima_compra_categoria,58.0,31.0,103.0944694229404,83.47193516421291,0.8096645303228931
