,count,nulos,mean,std,min,25%,50%,75%,99%,max,pct_ceros,asimetria
n_lineas,160057.0,0,1168.2920896930468,11517.534667978305,1.0,509.0,902.0,1415.0,3254.4400000000023,2647164.0,0.0,154.22241493162525
n_compras,160057.0,0,1127.9029533228788,11419.683109163978,1.0,489.0,866.0,1359.0,3144.4400000000023,2634236.0,0.0,154.46526660717154
n_devoluciones,160057.0,0,0.9945207019999125,12.273155893743894,0.0,0.0,0.0,0.0,17.0,4198.0,78.73757473899923,260.01548163603337
n_descuentos,160057.0,0,24.756749158112424,93.33370248705064,0.0,1.0,8.0,28.0,205.0,28399.0,22.73377609226713,189.7297236926586
n_visitas,160057.0,0,81.23439774580305,50.383188355734845,1.0,46.0,70.0,104.0,252.0,418.0,0.0,1.483004668143814
gasto_total,160057.0,0,5670.009003667443,172086.5931550295,-5953.67,2063.12,3661.75,5789.16,14069.477600000006,48321663.59,0.0,205.94667828967275
ticket_promedio,160057.0,0,61.21380458211762,429.1145698507265,-45.8,32.81,49.79,73.77,175.34440000000004,116157.85,0.0,196.633545311298
dias_ultima_compra,160057.0,0,8.758054942926583,9.476458560137878,1.0,4.0,6.0,10.0,48.0,305.0,0.0,4.918600370454994
antiguedad_dias,160057.0,0,384.33869808880587,47.76435252682293,1.0,382.0,391.0,412.0,422.0,424.0,0.0,-3.875036458059744
n_categorias_distintas,160057.0,0,196.49056898479915,76.40709716389448,1.0,142.0,196.0,249.0,371.0,783.0,0.0,0.3117957457208262
n_marcas_distintas,160057.0,0,236.24195755262187,129.35598320062428,1.0,153.0,224.0,303.0,537.0,7715.0,0.0,8.44967802684623
n_companias_distintas,160057.0,0,205.01247680513816,106.54957351607803,1.0,137.0,196.0,261.0,456.0,6748.0,0.0,8.73095729671678
n_compras_categoria,160057.0,0,5.6709297312832305,33.06297522252374,0.0,0.0,1.0,6.0,50.0,6136.0,45.38320723242345,113.24056022542011
gasto_categoria,160057.0,0,27.904342328045637,348.66276011859543,-85.14,0.0,2.97,20.86,285.84840000000025,76002.71,45.35321791611738,159.60335278773672
n_compras_categoria_30d,160057.0,0,0.44364820032863295,3.0661697469272573,0.0,0.0,0.0,0.0,5.0,722.0,78.3770781659034,134.36456140601243
n_compras_categoria_60d,160057.0,0,0.893787838082683,6.399279817606968,0.0,0.0,0.0,1.0,9.0,1721.0,70.06316499746966,163.9234727383653
n_compras_categoria_90d,160057.0,0,1.32849547348757,9.147069512853996,0.0,0.0,0.0,1.0,13.0,2247.0,65.01871208382013,143.31869870116705
n_compras_categoria_180d,160057.0,0,2.496235716026166,16.828146722229437,0.0,0.0,0.0,2.0,23.0,3493.0,57.22836239589646,126.61953109453816
n_compras_compania,160057.0,0,3.483915105243757,31.94884818160812,0.0,0.0,1.0,4.0,32.0,9551.0,45.89802382901092,205.11721820212802
gasto_compania,160057.0,0,15.003558794679394,278.3832471406664,-28.47,0.0,2.0,13.02,140.28880000000007,90477.57,45.86990884497398,246.87853230711073
n_compras_compania_30d,160057.0,0,0.326346239152302,2.3758492292346167,0.0,0.0,0.0,0.0,4.0,577.0,81.30790905739829,144.31103758549358
n_compras_compania_60d,160057.0,0,0.6589152614381126,4.845136441208462,0.0,0.0,0.0,1.0,7.0,1182.0,71.84627976283448,150.8211326782703
n_compras_compania_90d,160057.0,0,0.9896661814228681,7.190280636156082,0.0,0.0,0.0,1.0,10.0,1786.0,65.55352155794498,153.11345097279525
n_compras_compania_180d,160057.0,0,1.896705548648294,14.588381777846719,0.0,0.0,0.0,2.0,19.0,3806.0,55.96381289165735,163.74521056450988
n_compras_marca,160057.0,0,2.9181229187102096,24.666595492258313,0.0,0.0,0.0,2.0,32.0,5412.0,60.60341003517497,133.25544518440074
gasto_marca,160057.0,0,12.702786944650969,178.25016380975694,-14.85,0.0,0.0,9.0,134.13200000000012,44534.01,60.591539264137154,163.3361071959606
n_compras_marca_30d,160057.0,0,0.31233872932767703,2.212105234990377,0.0,0.0,0.0,0.0,4.0,440.0,83.01542575457493,116.09734367113018
n_compras_marca_60d,160057.0,0,0.5868221945931762,4.297788203178054,0.0,0.0,0.0,0.0,7.0,820.0,76.40090717681825,122.14628508339962
n_compras_marca_90d,160057.0,0,0.8414689766770588,6.246929287050373,0.0,0.0,0.0,1.0,9.0,1179.0,72.78656978451427,120.08193970181358
n_compras_marca_180d,160057.0,0,1.5327726997257227,11.987261846381836,0.0,0.0,0.0,1.0,17.0,2241.0,66.67749614199941,120.80315615140144
n_compras_producto,160057.0,0,0.5142105624871139,4.835025070965996,0.0,0.0,0.0,0.0,9.0,937.0,84.30434157831273,123.82680920187396
gasto_producto,160057.0,0,2.776475380645645,48.50251195611691,-8.69,0.0,0.0,0.0,47.92,10777.46,84.293720362121,160.08375417468469
dias_ultima_compra_categoria,87418.0,72639,96.75190464206456,104.9894011292233,1.0,16.0,49.0,153.0,383.0,423.0,0.0,1.1982777551453172
