variable,correlacion_spearman,correlacion_absoluta
n_compras_categoria,0.16413073791074126,0.16413073791074126
n_compras_categoria_30d,0.16394261039674332,0.16394261039674332
n_compras_categoria_60d,0.16385952315118538,0.16385952315118538
gasto_categoria,0.1610895922673589,0.1610895922673589
n_compras_categoria_90d,0.15961290363499517,0.15961290363499517
gasto_producto,0.15850814855158515,0.15850814855158515
n_compras_producto,0.15740822546301952,0.15740822546301952
n_compras_categoria_180d,0.15256966099458796,0.15256966099458796
nunca_compro_producto,-0.15218615000886135,0.15218615000886135
dias_ultima_compra_categoria,-0.13349075089869517,0.13349075089869517
nunca_compro_categoria,-0.12788430410587232,0.12788430410587232
antiguedad_dias,0.09745107136820573,0.09745107136820573
n_compras_marca_30d,0.08843426252021225,0.08843426252021225
n_compras_marca_60d,0.08510130946164682,0.08510130946164682
n_compras_compania_30d,0.08258500648399428,0.08258500648399428
n_compras_marca_90d,0.08088908409588468,0.08088908409588468
n_compras_compania_60d,0.06831567927462172,0.06831567927462172
n_compras_marca_180d,0.06554365539732153,0.06554365539732153
gasto_total,0.05896038735825589,0.05896038735825589
nunca_compro_marca,-0.056614579432303726,0.056614579432303726
n_compras_compania_90d,0.052221729641238376,0.052221729641238376
n_devoluciones,-0.05159292938026407,0.05159292938026407
gasto_marca,0.04992923782836516,0.04992923782836516
n_compras,0.04968495460190276,0.04968495460190276
n_descuentos,-0.047381847064982295,0.047381847064982295
n_lineas,0.047026921186440696,0.047026921186440696
n_compras_marca,0.0409355042387403,0.0409355042387403
n_visitas,0.03897194349041878,0.03897194349041878
dias_ultima_compra,-0.03884940739893103,0.03884940739893103
ticket_promedio,0.02856135205518285,0.02856135205518285
n_compras_compania_180d,0.025272334438392448,0.025272334438392448
n_marcas_distintas,0.02224478620567826,0.02224478620567826
n_categorias_distintas,0.01621139507644289,0.01621139507644289
n_companias_distintas,0.015976099902049717,0.015976099902049717
n_compras_compania,-0.009414798834946935,0.009414798834946935
gasto_compania,0.0060239265899376965,0.0060239265899376965
nunca_compro_compania,0.00529554189315635,0.00529554189315635
