grupo,frecuencia,proporcion
21,27373,0.1710203240095716
152,10967,0.0685193399851303
96,8657,0.05408698151283605
64,5889,0.03679314244300468
360,5880,0.036736912474930807
46,5440,0.03398789181354143
153,4850,0.030301705017587485
101,4727,0.029533228787244546
166,3499,0.021860962032276002
214,3390,0.02117995464115909
377,2977,0.018599623883991327
6,2808,0.017543750039048588
42,2711,0.016937715938696838
89,2604,0.016269204096040785
285,2589,0.01617548748258433
507,2586,0.016156744159893037
165,2484,0.015519471188389136
240,2465,0.015400763478010959
508,2375,0.014838463797272222
15,2305,0.014401119601142093
98,2042,0.012757954978538896
70,1967,0.012289371911256616
24,1922,0.012008222070887246
77,1820,0.011370949099383345
4,1753,0.010952348225944507
126,1717,0.010727428353649012
26,1677,0.010477517384431796
83,1675,0.010465021835970935
2,1652,0.010321323028671036
143,1484,0.009271696957958727
510,1454,0.009084263731045815
104,1429,0.008928069375285055
12,1406,0.008784370567985155
191,1391,0.008690653954528699
31,1380,0.008621928437993965
211,1380,0.008621928437993965
8,1327,0.008290796403781152
206,1249,0.007803470013807581
16,1224,0.00764727565804682
58,1162,0.007259913655760135
18,1144,0.007147453719612388
63,1136,0.007097471525768945
431,1121,0.007003754912312489
85,1057,0.006603897361564942
65,1036,0.0064726941027259035
100,988,0.006172800939665244
68,955,0.005966624390061041
17,935,0.005841668905452432
151,929,0.00580418226006985
14,755,0.004717069543974959
133,637,0.003979832184784171
140,631,0.003942345539401588
88,623,0.003892363345558145
71,602,0.0037611600867191062
20,597,0.0037299212155669542
95,591,0.003692434570184372
233,515,0.0032176037286716606
40,511,0.003192612631749939
224,457,0.002855232823306697
3,455,0.0028427372748458363
278,452,0.0028239939521545448
293,421,0.002630312951011202
108,415,0.00259282630562862
215,403,0.002517853014863455
424,373,0.0023304197879505427
69,367,0.00229293314256796
241,350,0.0021867209806506432
134,319,0.0019930399795073006
306,315,0.001968048882585579
109,304,0.0018993233660508444
184,297,0.0018555889464378316
48,294,0.0018368456237465402
509,276,0.001724385687598793
106,237,0.001480722492612007
205,191,0.0011933248780122082
180,158,0.0009871483284080045
373,129,0.0008059628757255228
23,119,0.0007434851334212187
116,106,0.0006622640684256233
384,95,0.0005935385518908889
169,92,0.0005747952291995977
192,71,0.00044359197036055906
187,71,0.00044359197036055906
401,62,0.00038736200228668536
10,59,0.00036861867959539415
402,58,0.0003623709053649637
230,58,0.0003623709053649637
62,57,0.0003561231311345333
356,52,0.0003248842599823813
376,52,0.0003248842599823813
522,47,0.00029364538883022923
73,46,0.00028739761459979884
403,38,0.00023741542075635555
404,36,0.00022491987229549473
526,35,0.0002186720980650643
122,31,0.00019368100114334268
369,26,0.00016244212999119064
307,24,0.0001499465815303298
520,17,0.00010621216191731696
313,12,7.49732907651649e-05
521,11,6.87255165347345e-05
399,10,6.247774230430409e-05
397,7,4.3734419613012866e-05
390,7,4.3734419613012866e-05
9,7,4.3734419613012866e-05
523,7,4.3734419613012866e-05
400,7,4.3734419613012866e-05
391,6,3.748664538258245e-05
115,6,3.748664538258245e-05
394,6,3.748664538258245e-05
393,5,3.1238871152152045e-05
398,5,3.1238871152152045e-05
389,5,3.1238871152152045e-05
217,4,2.4991096921721637e-05
396,4,2.4991096921721637e-05
392,4,2.4991096921721637e-05
163,4,2.4991096921721637e-05
395,3,1.8743322691291226e-05
422,3,1.8743322691291226e-05
405,3,1.8743322691291226e-05
246,3,1.8743322691291226e-05
524,3,1.8743322691291226e-05
525,2,1.2495548460860818e-05
368,2,1.2495548460860818e-05
161,1,6.247774230430409e-06
304,1,6.247774230430409e-06
81,1,6.247774230430409e-06
362,1,6.247774230430409e-06
386,1,6.247774230430409e-06
388,1,6.247774230430409e-06
