grupo,frecuencia,proporcion
10,41724,0.2606821319904784
21,9919,0.06197167259163923
27,8657,0.05408698151283605
37,7700,0.048107861574314154
9,7648,0.047782977314331766
20,7438,0.046470944725941384
15,7434,0.04644595362901966
12,7345,0.04588990172251135
96,6895,0.04307840331881767
8,6187,0.03865497916367294
14,5310,0.03317568116358547
1,5037,0.03147003879867797
4,4804,0.030014307402987685
16,4631,0.028933442461123223
34,4045,0.025272246762091007
33,3525,0.022023404162267193
35,2652,0.016569097259101447
2,2044,0.012770450526999755
7,2003,0.012514291783552109
39,1982,0.01238308852471307
18,1903,0.011889514360509069
11,1715,0.010714932805188152
28,1538,0.009609076766401969
22,1495,0.009340422474493461
17,1384,0.008646919534915686
24,1380,0.008621928437993965
26,1036,0.0064726941027259035
43,668,0.004173513185927513
45,631,0.003942345539401588
23,511,0.003192612631749939
6,491,0.003067657147141331
93,188,0.001174581555320917
47,71,0.00044359197036055906
5,66,0.000412353099208407
