,n_lineas,n_compras,n_devoluciones,n_descuentos,n_visitas,gasto_total,ticket_promedio,dias_ultima_compra,antiguedad_dias,n_categorias_distintas,n_marcas_distintas,n_companias_distintas,n_compras_categoria,gasto_categoria,n_compras_categoria_30d,n_compras_categoria_60d,n_compras_categoria_90d,n_compras_categoria_180d,n_compras_compania,gasto_compania,n_compras_compania_30d,n_compras_compania_60d,n_compras_compania_90d,n_compras_compania_180d,n_compras_marca,gasto_marca,n_compras_marca_30d,n_compras_marca_60d,n_compras_marca_90d,n_compras_marca_180d,n_compras_producto,gasto_producto,dias_ultima_compra_categoria,nunca_compro_categoria,nunca_compro_compania,nunca_compro_marca,nunca_compro_producto,repeater
n_lineas,1.0,0.9978115818729416,0.14543653977210538,0.3998518568651093,0.678526236024772,0.9344078086841614,0.47573357764605595,-0.3976321060377214,0.38181814911644724,0.905208021137219,0.8984363731077067,0.8773681674714319,0.15374108278657475,0.1591326401415492,0.14664607542656888,0.14488074471605855,0.14582846805730673,0.1577564197551866,0.3141046096826944,0.3089235230564924,0.17484388442288948,0.21534698605759234,0.24170977039329913,0.2750919923331784,0.2650241240475861,0.26007735156146694,0.15979744049471464,0.19567329629740765,0.21662949381874635,0.24481724358713453,0.14212434747228442,0.14207021450942814,-0.18717537340763846,-0.07011323657122741,-0.2684923219960247,-0.23859347255719313,-0.1348338012139384,0.047026921186440696
n_compras,0.9978115818729416,1.0,0.13557254137489136,0.3595231036962866,0.6727574408986635,0.9389218521843082,0.4864401495583733,-0.39408786030544396,0.38201889284739204,0.9053331692777796,0.9023065098727296,0.8780765988990866,0.15922779957601543,0.16480121561625377,0.1513580148557467,0.14976754354226401,0.15104154550471624,0.16301480743538824,0.31052977589759284,0.3058090147121748,0.17464256779262405,0.2141917795254783,0.2399550330903853,0.2732088525798767,0.26523019874072734,0.26060532650029544,0.16179077685392113,0.19784147495546228,0.21873745219060536,0.24633027119294637,0.14467103052044192,0.14473881964644897,-0.19108067330073106,-0.07399849932232654,-0.2641641368720939,-0.2385467505721792,-0.1373669561438478,0.04968495460190276
n_devoluciones,0.14543653977210538,0.13557254137489136,1.0,0.23087386510021493,0.14119936209206044,0.11120315133654289,0.00391004845036276,-0.09146170268579824,0.021028088530065846,0.14691065071018894,0.1440482877224285,0.1602686271355487,-0.05485377512710193,-0.05159817578665103,-0.04413317313148798,-0.04909066374346002,-0.05079473247433514,-0.04625979339542573,0.07702794369764124,0.07353799133746997,0.03281249924158135,0.045680027617483424,0.05113820371934292,0.06433937788354338,0.1080111366325132,0.10248581896573249,0.04403840069168656,0.05924363369468709,0.0670699386569862,0.08844070405536453,0.0017618484040281095,0.000849060226321037,0.02413031462743052,0.046709489421009415,-0.0629568754114338,-0.09458776509889694,-0.0012499872339301569,-0.05159292938026407
n_descuentos,0.3998518568651093,0.3595231036962866,0.23087386510021493,1.0,0.28614849247732266,0.2844565535679466,0.0747171014801988,-0.17442316429162344,0.08613873272866808,0.3590185766866127,0.30343469956513663,0.330530499550981,-0.10889728962626578,-0.11418728903655548,-0.09126046912923791,-0.11365363528893191,-0.12384579899445382,-0.1272598710399201,0.20900606978142292,0.19299053076559558,0.0754505436477494,0.11107500224838981,0.13521098955457614,0.1614271354492718,0.1357040617120326,0.12404330954152858,0.05167815540109621,0.06869759587085704,0.07766032876362611,0.10107459500721344,-0.005607535008499664,-0.008602007268403478,0.09841989140456935,0.0824084232276856,-0.19540897538259674,-0.12129944976478872,0.006497441898996531,-0.047381847064982295
n_visitas,0.678526236024772,0.6727574408986635,0.14119936209206044,0.28614849247732266,1.0,0.6342646370821818,-0.1771155666490705,-0.5885224925464321,0.35195113506119297,0.5935780365844858,0.5929600195838853,0.5669017793508058,0.10680294381822926,0.10767061957551642,0.1055960824168149,0.0964141252923385,0.09347564430158883,0.1013045527614657,0.17968226590152397,0.17834083145871282,0.10232334789652504,0.12111515852018691,0.13456769825915624,0.15294064852711603,0.17753602952420489,0.1743513360707734,0.10579131460896976,0.1246593023807517,0.13952729068847328,0.15934130748212516,0.10932714246692637,0.10879940430768664,-0.14133824847275842,-0.03970465714209448,-0.16088234597578963,-0.16585807478225972,-0.10318764800897172,0.03897194349041878
gasto_total,0.9344078086841614,0.9389218521843082,0.11120315133654289,0.2844565535679466,0.6342646370821818,1.0,0.595802168084126,-0.3640753845946225,0.3890384314036683,0.8524849032561229,0.8669538401404191,0.8557846189562144,0.1378118839743202,0.1528267061267345,0.14048705820066382,0.1389661698465031,0.14016431102817997,0.15041226755961204,0.2978864777201259,0.30617268327641756,0.16705617257967034,0.203428833718203,0.2275840921935262,0.26032837729218694,0.2580310038109089,0.2597523521132134,0.15283296574070634,0.18671373000356148,0.2081427071933021,0.23696347475936286,0.13544662873747834,0.1371403181024907,-0.1960202779155381,-0.04913169336722778,-0.2536985775981053,-0.23462463798655853,-0.1279373772562269,0.05896038735825589
ticket_promedio,0.47573357764605595,0.4864401495583733,0.00391004845036276,0.0747171014801988,-0.1771155666490705,0.595802168084126,1.0,0.12866268247136306,0.1352979201274842,0.4681967805195307,0.4861398771583909,0.5008962271352058,0.05295943920746585,0.07330089558907926,0.06727454871313528,0.07460216492251036,0.07909595759118863,0.08392357210651613,0.20734549469642993,0.21909218970346425,0.10887516702861202,0.13996185917491166,0.15907139651607222,0.18512806367736875,0.15038398705003853,0.1560497495789862,0.08694123621025929,0.11224598913703517,0.124673815809483,0.14180988795004665,0.05883223126442093,0.061753732698516924,-0.1230753477791524,-0.003033796785844638,-0.17465644247753498,-0.13336767415148001,-0.055503302010031376,0.02856135205518285
dias_ultima_compra,-0.3976321060377214,-0.39408786030544396,-0.09146170268579824,-0.17442316429162344,-0.5885224925464321,-0.3640753845946225,0.12866268247136306,1.0,-0.06696467384668117,-0.34718232814773153,-0.34536919586411685,-0.32808975108033345,-0.0673442216096559,-0.06658847101354741,-0.11609363744421303,-0.09064459783095928,-0.07954181227413344,-0.07093793477442882,-0.11191731620805427,-0.11102030443067812,-0.1139992731314853,-0.11234345044220034,-0.1141211764706101,-0.11189894662108314,-0.14924764302659022,-0.14576158784720494,-0.13284470507828844,-0.1333165710493594,-0.139364274249029,-0.14523709028695164,-0.08443967251219361,-0.08348448451987904,0.16385338511080888,0.03534405879148728,0.09974007082032003,0.14051337553881452,0.08111585686853613,-0.03884940739893103
antiguedad_dias,0.38181814911644724,0.38201889284739204,0.021028088530065846,0.08613873272866808,0.35195113506119297,0.3890384314036683,0.1352979201274842,-0.06696467384668117,1.0,0.3236342108629089,0.33967050824513195,0.33785819566807074,0.14025627119685746,0.14719445548832827,0.14710885422866543,0.15668635270664913,0.1553540010199099,0.16080644235817726,0.02847843469677725,0.05458088121332648,-0.015363164590641003,-0.011767108133826915,-0.014510377481384923,-0.009130384508077447,0.030032898532417095,0.036968159031575895,-0.05392982922610532,-0.03714855886138597,-0.02327255249620444,-0.0038204673716513526,0.0834752721900462,0.08570146152181571,-0.24976945040224774,-0.003964211812782067,-0.059589344992950814,-0.07857976376133148,-0.0766055327260479,0.09745107136820573
n_categorias_distintas,0.905208021137219,0.9053331692777796,0.14691065071018894,0.3590185766866127,0.5935780365844858,0.8524849032561229,0.4681967805195307,-0.34718232814773153,0.3236342108629089,1.0,0.9692739402279359,0.9413570730056484,0.14475773948540505,0.1511019270606172,0.1244131938308543,0.12690334440206633,0.13073760494564568,0.1453884459942747,0.29263624980435876,0.2876659587437842,0.1453544276259792,0.1872044545429769,0.2157973843053073,0.25285949187934803,0.23826497549435224,0.2333739408121046,0.13034395532864668,0.16551279733976496,0.18665355926502916,0.21723922341274304,0.12055784654233057,0.1204222704584838,-0.1483937142088146,-0.07904688575663302,-0.25905271414244674,-0.2180371045968248,-0.11593820449594112,0.01621139507644289
