grupo,n,repeaters,tasa_recompra
21,27373,6882,0.25141562853907135
152,10967,4176,0.3807786997355703
96,8657,2452,0.28323899734319047
64,5889,2781,0.4722363728986246
360,5880,1509,0.2566326530612245
46,5440,1008,0.18529411764705883
153,4850,1599,0.32969072164948454
101,4727,1336,0.28263169028982443
166,3499,1904,0.5441554729922835
214,3390,928,0.2737463126843658
377,2977,1023,0.34363453140745714
6,2808,854,0.3041310541310541
42,2711,700,0.25820730357801547
89,2604,675,0.25921658986175117
285,2589,641,0.24758594051757435
507,2586,562,0.21732405259087392
165,2484,495,0.19927536231884058
240,2465,227,0.09208924949290061
508,2375,487,0.20505263157894738
15,2305,504,0.21865509761388285
98,2042,584,0.2859941234084231
70,1967,730,0.37112353838332485
24,1922,648,0.33714880332986474
77,1820,509,0.2796703296703297
4,1753,381,0.21734169994295494
126,1717,458,0.2667443214909726
26,1677,457,0.272510435301133
83,1675,396,0.2364179104477612
2,1652,368,0.22276029055690072
143,1484,385,0.25943396226415094
510,1454,319,0.21939477303988997
104,1429,131,0.09167249825052484
12,1406,371,0.26386913229018494
191,1391,301,0.21639108554996406
31,1380,281,0.2036231884057971
211,1380,347,0.2514492753623188
8,1327,125,0.09419743782969103
206,1249,272,0.2177742193755004
16,1224,419,0.3423202614379085
58,1162,264,0.22719449225473323
18,1144,238,0.20804195804195805
63,1136,324,0.2852112676056338
431,1121,266,0.23728813559322035
85,1057,219,0.20719016083254493
65,1036,200,0.19305019305019305
100,988,152,0.15384615384615385
68,955,286,0.2994764397905759
17,935,180,0.1925133689839572
151,929,253,0.2723358449946179
14,755,169,0.223841059602649
133,637,147,0.23076923076923078
140,631,132,0.2091917591125198
88,623,136,0.21829855537720708
71,602,247,0.41029900332225916
20,597,119,0.19932998324958123
95,591,100,0.1692047377326565
233,515,130,0.2524271844660194
40,511,96,0.18786692759295498
224,457,131,0.28665207877461707
3,455,89,0.1956043956043956
278,452,33,0.07300884955752213
293,421,52,0.12351543942992874
108,415,108,0.26024096385542167
215,403,108,0.2679900744416873
424,373,95,0.2546916890080429
69,367,89,0.24250681198910082
241,350,91,0.26
134,319,30,0.09404388714733543
306,315,61,0.19365079365079366
109,304,49,0.1611842105263158
184,297,61,0.2053872053872054
48,294,23,0.0782312925170068
509,276,70,0.2536231884057971
106,237,61,0.25738396624472576
205,191,50,0.2617801047120419
180,158,39,0.2468354430379747
373,129,30,0.23255813953488372
23,119,31,0.2605042016806723
116,106,30,0.2830188679245283
384,95,19,0.2
169,92,3,0.03260869565217391
187,71,18,0.2535211267605634
192,71,9,0.1267605633802817
401,62,16,0.25806451612903225
10,59,10,0.1694915254237288
230,58,2,0.034482758620689655
402,58,21,0.3620689655172414
62,57,11,0.19298245614035087
356,52,9,0.17307692307692307
376,52,6,0.11538461538461539
522,47,13,0.2765957446808511
73,46,13,0.2826086956521739
403,38,10,0.2631578947368421
404,36,8,0.2222222222222222
526,35,6,0.17142857142857143
122,31,5,0.16129032258064516
369,26,0,0.0
307,24,3,0.125
520,17,6,0.35294117647058826
313,12,6,0.5
521,11,5,0.45454545454545453
399,10,0,0.0
9,7,3,0.42857142857142855
390,7,0,0.0
397,7,0,0.0
400,7,1,0.14285714285714285
523,7,2,0.2857142857142857
115,6,3,0.5
391,6,1,0.16666666666666666
394,6,2,0.3333333333333333
389,5,0,0.0
393,5,2,0.4
398,5,1,0.2
163,4,1,0.25
217,4,0,0.0
392,4,0,0.0
396,4,1,0.25
246,3,1,0.3333333333333333
395,3,0,0.0
405,3,3,1.0
422,3,0,0.0
524,3,1,0.3333333333333333
368,2,0,0.0
525,2,0,0.0
81,1,1,1.0
161,1,1,1.0
304,1,0,0.0
362,1,1,1.0
386,1,0,0.0
388,1,0,0.0
